Player,Avg Approach <100
Dominic Bozzelli (2019),19.25
Scott Langley (2019),19.33
Kiradech Aphibarnrat (2019),19.33
Luke List (2019),19.33
Scott Brown (2019),19.5
Joel Dahmen (2019),19.5
Henrik Stenson (2019),19.58
Zach Johnson (2019),19.67
Patton Kizzire (2019),19.75
Daniel Berger (2019),19.75
Tom Hoge (2019),19.83
Kevin Kisner (2019),19.83
Nick Taylor (2019),20
Satoshi Kodaira (2019),20
Ernie Els (2019),20.17
Jonas Blixt (2019),20.33
Anirban Lahiri (2019),20.33
Harris English (2019),20.5
Abraham Ancer (2019),20.5
Alex Noren (2019),20.75
Marc Leishman (2019),20.75
Tommy Fleetwood (2019),20.92
Carlos Ortiz (2019),21.17
Bubba Watson (2019),21.75
Tyler Duncan (2019),23.33
Cameron Smith (2016),12.25
Stewart Cink (2016),12.5
Zach Johnson (2016),12.67
Hideki Matsuyama (2016),12.83
Sergio Garcia (2016),13.17
Jimmy Walker (2016),13.5
Chad Collins (2016),13.58
Adam Scott (2016),13.75
Jon Curran (2016),13.92
Troy Merritt (2016),14
Tim Wilkinson (2016),14.08
Kevin Kisner (2016),14.08
Emiliano Grillo (2016),14.42
Rickie Fowler (2016),14.42
Steve Stricker (2016),14.5
Roberto Castro (2016),14.67
Charl Schwartzel (2016),14.75
Patrick Reed (2016),14.83
Jim Furyk (2016),14.92
John Senden (2016),14.92
Greg Owen (2016),14.92
Matt Kuchar (2016),14.92
Jason Bohn (2016),14.92
Billy Horschel (2016),14.92
Dustin Johnson (2016),14.92
Vaughn Taylor (2016),15
Bryce Molder (2016),15
Kevin Na (2016),15.17
Seung-Yul Noh (2016),15.17
Ken Duke (2016),15.25
Will MacKenzie (2016),15.25
Ernie Els (2016),15.33
Jeff Overton (2016),15.33
Colt Knost (2016),15.33
Scott Stallings (2016),15.42
Jim Herman (2016),15.42
Brandt Snedeker (2016),15.5
Rory McIlroy (2016),15.5
Stuart Appleby (2016),15.67
Chez Reavie (2016),15.67
Jonas Blixt (2016),15.67
David Toms (2016),15.75
Geoff Ogilvy (2016),15.75
Louis Oosthuizen (2016),15.75
Jason Day (2016),15.75
Henrik Norlander (2016),15.75
Derek Fathauer (2016),15.83
Kevin Streelman (2016),15.92
Cameron Tringale (2016),15.92
Retief Goosen (2016),16
Brendon de Jonge (2016),16
Lucas Glover (2016),16
Martin Laird (2016),16
Kyle Reifers (2016),16
Brendon Todd (2016),16
Robert Streb (2016),16
Hudson Swafford (2016),16.08
Tom Hoge (2016),16.08
Blayne Barber (2016),16.08
Erik Compton (2016),16.17
Tyrone Van Aswegen (2016),16.17
K.J. Choi (2016),16.25
Ryan Moore (2016),16.25
Rob Oppenheim (2016),16.25
Brooks Koepka (2016),16.25
Si Woo Kim (2016),16.25
Chad Campbell (2016),16.33
George McNeill (2016),16.33
Francesco Molinari (2016),16.42
Jerry Kelly (2016),16.5
Danny Lee (2016),16.5
Peter Malnati (2016),16.5
Luke Guthrie (2016),16.5
Whee Kim (2016),16.5
Cameron Percy (2016),16.58
Dicky Pride (2016),16.67
Padraig Harrington (2016),16.67
