Player,StrokeAverage
J.J. Henry (2018),71.372
Jonathan Byrd (2018),71.398
Retief Goosen (2018),71.409
Robert Garrigus (2018),71.457
Martin Flores (2018),71.458
Conrad Shindler (2018),71.465
Whee Kim (2018),71.477
Sean O'Hair (2018),71.479
Xinjun Zhang (2018),71.486
Rob Oppenheim (2018),71.532
Wesley Bryan (2018),71.552
Hudson Swafford (2018),71.619
Chris Stroud (2018),71.628
Steve Wheatcroft (2018),71.631
Michael Kim (2018),71.662
Ricky Barnes (2018),71.663
Chad Campbell (2018),71.683
Billy Hurley III (2018),71.715
Roberto Díaz (2018),71.731
Derek Fathauer (2018),71.827
Robert Streb (2018),71.905
Martin Piller (2018),71.929
Jonathan Randolph (2018),71.945
Sung Kang (2018),71.954
Ethan Tracy (2018),72.038
Matt Every (2018),72.044
Grayson Murray (2018),72.091
Cody Gribble (2018),72.112
Jonas Blixt (2018),72.134
Cameron Tringale (2018),72.146
Satoshi Kodaira (2018),72.182
Matt Atkins (2018),72.251
Rod Pampling (2018),72.445
Greg Chalmers (2018),72.531
Kyle Thompson (2018),72.673
Zecheng Dou (2018),72.773
D.A. Points (2018),73.019
Daniel Summerhays (2018),73.177
Andrew Yun (2018),73.624
Rory McIlroy (2019),69.058
Patrick Cantlay (2019),69.308
Webb Simpson (2019),69.378
Brooks Koepka (2019),69.397
Justin Thomas (2019),69.468
Jon Rahm (2019),69.62
Adam Scott (2019),69.695
Tommy Fleetwood (2019),69.731
Paul Casey (2019),69.823
Justin Rose (2019),69.827
Xander Schauffele (2019),69.836
Hideki Matsuyama (2019),69.842
Dustin Johnson (2019),69.896
Matt Kuchar (2019),69.918
Tony Finau (2019),69.956
Rickie Fowler (2019),69.956
Lucas Glover (2019),70.084
Henrik Stenson (2019),70.089
Jim Furyk (2019),70.09
Bryson DeChambeau (2019),70.178
Patrick Reed (2019),70.209
Jason Day (2019),70.212
Gary Woodland (2019),70.231
Chez Reavie (2019),70.248
Sungjae Im (2019),70.253
Louis Oosthuizen (2019),70.261
Sergio Garcia (2019),70.321
Scott Piercy (2019),70.333
Rory Sabbatini (2019),70.409
Kevin Kisner (2019),70.418
Jason Kokrak (2019),70.433
Marc Leishman (2019),70.436
Daniel Berger (2019),70.443
Vaughn Taylor (2019),70.45
Jordan Spieth (2019),70.453
Byeong Hun An (2019),70.48
Charles Howell III (2019),70.484
Ian Poulter (2019),70.502
Brandt Snedeker (2019),70.521
Russell Knox (2019),70.521
Matthew Fitzpatrick (2019),70.525
Adam Hadwin (2019),70.545
Denny McCarthy (2019),70.546
Bud Cauley (2019),70.574
Abraham Ancer (2019),70.581
Tyrrell Hatton (2019),70.585
Graeme McDowell (2019),70.591
Wyndham Clark (2019),70.595
Joaquin Niemann (2019),70.621
Talor Gooch (2019),70.629
J.T. Poston (2019),70.633
Zach Johnson (2019),70.644
Billy Horschel (2019),70.644
Andrew Putnam (2019),70.644
Michael Thompson (2019),70.662
Ryan Palmer (2019),70.679
Nate Lashley (2019),70.692
Nick Taylor (2019),70.697
Bubba Watson (2019),70.71
Harold Varner III (2019),70.716
Dylan Frittelli (2019),70.737
Aaron Wise (2019),70.739
Peter Malnati (2019),70.762
Kevin Streelman (2019),70.763
Jhonattan Vegas (2019),70.765
Corey Conners (2019),70.777
Rafa Cabrera Bello (2019),70.78
Aaron Baddeley (2019),70.783
Cameron Tringale (2019),70.796
Matt Jones (2019),70.81
Emiliano Grillo (2019),70.814
Cameron Smith (2019),70.814
Adam Schenk (2019),70.817
Danny Willett (2019),70.828
Johnson Wagner (2019),70.847
Keegan Bradley (2019),70.849
Martin Laird (2019),70.866
Russell Henley (2019),70.874
Jonas Blixt (2019),70.875
Ryan Armour (2019),70.888
